Strike,Contract Name,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
80,JPM170421C00080000,12.9,12.45,12.5,1.25,10.73%,33,579,33.35%
82.5,JPM170421C00082500,10.2,9.95,10.35,0.8,8.51%,2,580,32.72%
85,JPM170421C00085000,7.8,7.65,7.8,0.65,9.09%,20,"7,255",26.05%
87.5,JPM170421C00087500,5.66,5.5,5.6,0.65,12.97%,153,"4,742",22.79%
90,JPM170421C00090000,3.83,3.7,3.75,0.7,22.36%,201,"10,400",21.05%
92.5,JPM170421C00092500,2.43,2.41,2.42,0.57,30.65%,325,"15,323",20.90%
95,JPM170421C00095000,1.4,1.24,1.26,0.42,42.86%,602,"12,008",19.13%
97.5,JPM170421C00097500,0.68,0.62,0.63,0.2,41.67%,43,"3,427",18.73%
100,JPM170421C00100000,0.35,0.32,0.33,0.11,45.83%,336,"32,185",19.24%
105,JPM170421C00105000,0.09,0.08,0.09,0.01,12.50%,1,800,20.51%
